"","RA.L_N","RA.H_N","RA.H_J","RA.L_J","RB.L_N","RB.H_N","RB.H_J","RB.L_J","RC.L_N","RC.H_N","RC.H_J","RC.L_J","RD.L_N","RD.H_N","RD.H_J","RD.L_J","RE.L_N","RE.H_N","RE.H_J","RE.L_J","S1.L_N","S1.H_N","S1.H_J","S1.L_J","S2.L_N","S2.H_N","S2.H_J","S2.L_J","S3.L_N","S3.H_N","S3.H_J","S3.L_J","S4.L_N","S4.H_N","S4.H_J","S4.L_J","S5.L_N","S5.H_N","S5.H_J","S5.L_J","S6.L_N","S6.H_N","S6.H_J","S6.L_J","S7U.L_N","S7B.L_N","S7U.H_N","S7B.H_N","S7U.H_J","S7B.H_J","S7U.L_J","S7B.L_J","S8U.L_N","S8B.L_N","S8U.H_N","S8B.H_N","S8U.H_J","S8B.H_J","S8U.L_J","S8B.L_J"
"Pseudolabrus eoethinus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,0,0,0,460,0,0,0,0,0,0,0,0,0,61,0,0,0,705
"Pseudolabrus sieboldi",0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,60,14,0,3554,791,226,132,0,0,0,59,0,902,0,0,0,262,0,76,353,0,197,113,446,684,0,28,129,174,0,0,0,121,0,285,3292,1729,4456,3287,264,145,174,1586
"Pseudopleuronectes / Pleuronectes / Hippoglossoides",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,526,12,41,0,0,62,0,0,166,58,0,0,0,201,0,0,39,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pseudorasbora parva",0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pterogobius elapoides",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268,85,0,0,51,0,0,876,0,0,0,94,186,27,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,203,0,0,0,0,0,0,0,0,0,0,0
"Pterogobius virgo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315,0,0,0,89,29,44,244,0,0,0,0,0,146,184
"Pterogobius zonoleucus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0
"Redigobius bikolanus",12,0,22,0,190,62,31,11,202,440,0,25,108,51,47,46,121,0,12,87,0,0,69,0,3150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Repomucenus curvicornis / Calliurichthys japonicus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,14,0,0,80,0,0,0,0,32,121,0,0,0,0,0,0,0,0,0,0,0,0,263,17,66,0,0,0,0,0,0,0,0
"Repomucenus sp.1",0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,45,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Repomucenus valenciennei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,298,35,264,93,0,0,335,54,0,0,29,0,0,0,0,0,0,0,263,255,0,0,0,0,0,103,0,0,0,71,45,103,0,0,0,0,0,0,0,0
"Rhinogobius giurinus",20,12,202,10,49,22,168,64,42,36,10,21,38,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,0,0,0,0,0,0,0,0,0,0
"Rhinogobius sp.1",15,21,0,0,236,66,0,0,179,163,0,0,129,0,0,0,123,0,0,0,0,0,0,0,0,0,0,0,0,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rhynchocypris lagowskii steindachneri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rhynchopelates oxyrhynchus",59,0,0,20,95,70,115,18,325,1417,0,253,2109,519,820,1428,2034,1058,1263,2426,0,162,0,42,0,0,0,12,0,0,53,205,0,0,0,0,0,0,0,0,1136,0,42,0,156,0,0,0,893,423,0,0,0,0,0,0,0,0,0,0
"Rudarius ercodes",0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,425,0,0,0,0,0,234,69,1000,0,82,0,0,0,83,0,0,276,0,121,0,81,70,0,67,0,0,0,0,0,0,103,0,63,601,0,0,0,0,0,0,0,0
"Sagamia geneionema",0,0,0,0,0,0,0,0,0,0,0,0,0,12,64,0,0,329,67,0,416,157,501,397,132,2124,276,209,0,352,605,16,0,0,134,332,0,0,544,27,300,0,23,15,423,387,0,0,632,530,2681,1079,94,46,92,0,0,189,703,316
"Sardinella lemuru",0,0,0,0,0,0,12,0,31,378,0,0,105,451,250,0,184,834,664,37,0,136,1092,373,38,257,423,212,0,21,287,24,0,0,275,0,56,0,541,386,0,260,63,66,0,0,0,0,119,271,194,91,0,0,0,0,0,0,0,0
"Sardinops melanostictus",0,0,0,0,0,0,26,10,164,761,0,55,321,1933,1048,158,650,2596,909,124,0,88,210,72,0,0,384,122,0,0,463,30,0,39,533,0,258,0,153,381,0,429,306,94,122,160,0,0,367,150,285,213,111,0,0,0,611,213,774,720
"Saurida sp.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Scomber sp.",0,0,24,0,0,0,0,13,0,0,0,54,0,60,926,229,13,41,1789,374,5215,4494,26955,9778,495,1021,16061,4302,0,82,8290,776,0,597,10348,2023,171,0,13832,6088,281,7498,2736,1595,2980,4815,0,0,4573,11186,3374,5047,0,0,148,0,0,552,1142,877
"Scomberoides lysan",19,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Scorpaena miostoma",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,0,0,84,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,337,0,110,0,0
"Scorpaenodes evides",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,0,0,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,631,89,0,0,0,0,0,0
"Sebastes sp.1",0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,25,421,0,0,274,0,0,0,751,0,0,0,0,637,0,0,0,512,0,0,196,0,0,0,94,0,0,0,316,1400,0,0,0,0,0,0,219,139,864,0,0,0,0,0
"Sebastiscus marmoratus",0,0,0,0,0,0,0,0,34,0,0,0,0,14,0,130,0,177,431,0,0,340,1298,947,77,0,1657,556,0,505,1087,30,0,156,1590,1599,105,0,728,888,476,2143,1815,241,387,489,0,0,2025,2168,755,1622,1667,1125,1991,4619,343,676,1254,973
"Semicossyphus reticulatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,73,141,0,0,0,0,0,309,0,201,0,0
"Seriola dumerili",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Seriola quinqueradiata",0,0,11,0,0,0,0,0,0,0,0,0,0,0,173,0,0,45,139,68,600,162,334,119,99,481,223,106,0,87,405,11,0,0,357,54,162,0,283,93,0,600,26,13,20,216,0,0,147,409,67,791,247,0,102,136,249,205,695,114
"Siganus sp.",0,0,0,0,0,0,0,0,0,86,0,0,0,12,0,0,14,189,0,0,457,0,0,0,0,554,0,0,0,252,0,0,0,2089,0,0,0,0,0,0,1792,493,0,0,381,451,0,0,0,0,0,79,423,260,2529,162,0,0,0,0
"Sillago japonica",0,0,0,0,0,0,0,0,0,201,0,37,0,121,668,0,0,653,1095,30,0,732,1335,903,913,1567,3312,1017,23,1392,1293,744,0,0,1604,2608,583,0,2577,1036,1219,2721,259,727,281,245,0,0,546,1757,1065,1749,144,91,0,0,0,0,0,0
"Sphyraena pinguis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,6603,1689,129,276,0,969,254,66,0,241,0,0,0,0,0,62,0,0,74,25,390,1982,181,20,0,0,0,0,204,0,166,66,0,0,0,0,0,0,327,0
"Squatina japonica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0
"Stephanolepis cirrhifer",0,0,0,0,0,0,0,0,0,0,0,0,0,117,0,0,0,0,30,0,847,217,193,101,33,0,163,58,0,279,153,12,0,507,91,0,0,0,107,0,90,1189,64,48,0,0,0,0,621,101,73,240,451,73,833,466,419,152,591,1521
"Stephanolepis sp.",0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279,0,0,0,0,0,0,0,0,0,0,11,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0
"Stethojulis terina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251,0,0,0,0,0,0,0,57,139,0,0,82,0,0
"Symphurus cf microrhynchus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,45,0,0,0,0
"Takifugu / Lagocephalus",0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,172,0,120,0,0,220,0,0,0,238,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,130,0,51,118,0,0,0,0,0,0,0,0
"Takifugu sp.1",393,189,0,0,493,1609,0,0,3136,2719,0,0,2145,1105,0,0,2016,4437,0,0,1643,1232,0,0,1413,3930,0,0,19,9026,0,0,0,2250,0,0,123,0,0,0,5778,2686,0,0,2143,0,0,0,0,0,0,0,400,174,61,63,0,0,0,0
"Takifugu sp.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,497,688,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Terapon jarbua",22,10,0,0,0,65,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Thamnaconus modestus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,0,0,0,0,59,60,0,0,49,0,0,0,0,37,0,0,0,0,0,0,11,0,0,0,0,0,809,0,0,0,0,0,374,0,0,0,0,0
"Thunnus sp.1",10,0,711,169,0,0,270,232,44,0,276,53,0,0,0,54,0,0,0,159,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Trachurus sp.1",0,0,0,0,10,0,0,0,78,143,0,0,71,113,0,0,92,16969,0,0,6803,3509,0,0,341,1486,0,0,0,519,0,0,0,0,0,0,814,0,0,0,3887,3466,0,0,499,135,0,0,0,0,0,0,103,98,0,1252,0,0,0,0
"Trachurus trachurus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
"Tribolodon sp.",0,0,214,17,28,0,24,60,43,22,31,0,0,0,0,32,0,0,35,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Trichiurus lepturus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,0,0,0,51,112,63,0,13,89,19,0,0,124,0,0,0,65,24,0,0,110,13,0,0,0,12,0,0,0,0,0,225,18,94,0,0,17,0,0,31,0,0
"Tridentiger sp.1",632,394,0,0,3093,2761,0,0,7542,8046,0,0,3585,747,0,0,3895,2564,0,0,0,571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,0,0,0,48,1093,0,0,101,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tridentiger trigonocephalus",0,0,0,0,0,0,31,25,628,1213,0,175,580,1080,1969,1913,1154,2392,2179,1247,251,0,125,1118,0,0,46,690,0,167,34,393,0,653,107,516,191,0,0,405,717,0,49,105,96,0,0,0,356,357,0,467,0,0,0,0,0,0,0,0
"Upeneus japonicus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0
"Zoarchias glaber",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,84,0,0,0,257,329,0,0,0,310,0,0,0,0,495,0,179,117,0,0,0,0,321,0,0,100,0,0,78,0,0,0,168,0
"Zoarchias neglectus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,106,143,0,0,0,2537,0,0,88,460,0,0,0,0,0,0,291,77,0,0,0,0,70,0,0,244,0,0,0,179,0,0,0,0
"Acropoma japonicum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232,0,244
"Aluterus sp.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136
"Amblychaeturichthys sciistius",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Apogonichthyoides niger",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,0,0,0,0,118,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arothron sp.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Atherion elymus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0
"Auxis rochei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,149,0,0,133,0,0,0,58,0,0,0,0,0,0,0,132,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0,0,145
"Brachysomophis crocodilinus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0
"Branchiostegus japonicus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bregmaceros atlanticus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Caprodon schlegelii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Carassius spp.",0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,0,0,0,0,0,0,0,0,0,0,0
"Chaenogobius gulosus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chelidonichthys sp.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,149,0,0,0,182,47,0,0,0,0,0,0,0,0,0,0,92,58,0,0,184,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,800,518
"Choerodon azurio",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,0,0,0,0,0,0,0,0,0,0
"Clariger cosmurus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,238,0,0,0,0,0,0,0,0,0,0
"Clupea pallasii",0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Conger erebennus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0
"Cyclothone atraria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,0,0,0,0,0,0,0,0,0,0
"Cynoglossus interruptus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0
"Diaphus chrysorhynchus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,0,0,0,57,0,0,0,2021,707,0,0,2145,518,0,0,1299,54,0,0,1157,86,0,0,1591,755,0,0,105,31,0,0,0,0,326,1428,211,357,0,0,0,0,0,0,0,303
"Diaphus sp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296,0,503,0
"Diaphus suborbitalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276,0,574
"Diplospinus multistriatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ditrema sp.",0,0,0,0,0,0,0,0,0,0,0,52,0,0,492,56,0,0,492,54,0,0,640,614,0,0,1098,209,0,0,454,176,0,0,436,90,0,0,572,298,0,0,79,158,0,0,0,0,622,392,734,317,0,0,0,0,326,0,0,0
"Enneapterygius etheostomus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eopsetta grigorjewi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0
"Epinephelus septemfasciatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Euthynnus affinis",0,0,181,121,0,0,84,232,0,0,152,38,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gadus sp.",0,0,40,0,0,0,20,0,0,0,12,18,0,0,0,0,0,0,54,36,0,0,161,154,0,0,0,25,0,0,86,0,0,0,19,0,0,0,177,135,0,0,0,0,0,0,0,0,0,28,46,0,0,0,0,0,0,0,0,0
"Gerres sp.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,0,0,0,40,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gonorynchus abbreviatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,0,0
"Gymnocranius griseus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,397,0,0,0,0,0,0,0,0,0,0,0
"Heteromycteris japonicus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232,0
"Hexagrammos otakii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,29,0,0,101,0,0,0,283,0,0,0,208,0,0,0,0,0,197,0,0,28,0,0,0,0,0,0,0,0
"Hexagrammos sp.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,146,276,0,0,0,43,0,0,0,0,0,0,36,0,0,0,0,0,801,0,0,98,0,0,0,0,0,0,0,0
"Hippocampus coronatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0
"Hippocampus mohnikei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hyperoglyphe / Seriolella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jaydia carinatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,0,0
"Kareius bicoloratus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Labracoglossa argenteiventris",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0
"Laemonema longipes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,102,81,0,114
"Lepadichthys frenatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lepidotrigla sp.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Liparis punctulatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291,0,0,0,0,0,0,0,0,0,0,0
"Lophius litulon",0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Luciogobius sp.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,40,0,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Maurolicus japonicus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
